1,1,6,156.02,160.8
2,1,6,156.02,160.8
3,1,6,158.75,161.11
4,1,6,158.75,161.11
5,1,6,134.28,161.28
6,1,6,131.93,161.46
7,1,6,141.62,162.59
8,1,6,141.62,162.59
9,1,1,170.76,122.38
9,1,5,96.031,171.53
10,1,1,170.76,122.38
10,1,5,96.031,171.53
11,1,1,170.76,122.38
11,1,5,96.031,171.53
12,1,1,170.76,122.38
12,1,5,96.031,171.53
13,1,1,170.76,122.38
13,1,5,96.031,171.53
14,1,1,170.76,122.38
14,1,5,96.031,171.53
15,1,1,168.25,109.3
15,1,5,86.851,171.45
16,1,1,165.59,76.095
16,1,3,155.92,165.48
16,1,5,76.671,173.63
16,1,5,176.32,164.22
17,1,1,161.25,42.344
17,1,3,147.03,130.61
17,1,5,72.938,173.37
17,1,5,171,136.74
18,1,1,164.79,55.606
18,1,3,148.58,155
18,1,5,81.917,194.31
18,1,5,168.14,162.14
19,1,1,166.37,60.683
19,1,3,152.08,164.66
19,1,5,88.81,201.96
19,1,5,170.94,171.29
20,1,1,166.62,47.328
20,1,3,151.91,149.02
20,1,5,88.745,184.9
20,1,5,170.23,159.14
21,1,1,162.38,45.177
21,1,3,147.7,136.37
21,1,5,77.439,165
21,1,5,169.75,136.27
22,1,1,167.77,98.527
22,1,5,86.245,165.97
23,1,1,169.31,118.25
23,1,5,95.138,165.58
24,1,1,171.32,119.87
24,1,5,98.66,166.1
25,1,1,171.32,119.87
25,1,5,98.66,166.1
26,1,1,169.09,121.77
26,1,5,95.215,174.8
27,1,1,173.23,124.49
27,1,5,98.595,171.86
28,1,1,173.23,124.49
28,1,5,98.595,171.86
29,1,1,169.15,119.41
29,1,5,89.726,171.85
30,1,1,169.75,104.51
30,1,5,84.337,171.67
31,1,1,167.81,89.225
31,1,3,158.9,182.21
31,1,5,79.066,172.1
31,1,5,171.53,181.09
32,1,1,165.67,46.966
32,1,3,148.56,145.94
32,1,5,70.11,171.4
32,1,5,167.14,146.41
33,1,1,165.42,64.629
33,1,3,147.84,165.27
33,1,5,82.913,198.18
33,1,5,164.72,177.15
34,1,1,166.78,65.653
34,1,3,147.66,175.15
34,1,5,89.337,207.06
34,1,5,166.23,187.24
35,1,1,169.02,63.761
35,1,3,147.71,167.09
35,1,5,89.338,196.14
35,1,5,165.06,181.34
36,1,1,169.63,38.381
36,1,3,147.04,139.54
36,1,5,72.971,176.63
36,1,5,167.4,153.36
37,1,1,167,75.377
37,1,3,153.13,168.44
37,1,5,78.832,170.84
37,1,5,174.76,166.54
38,1,1,169.73,106.03
38,1,5,85.496,167.39
39,1,1,170.37,121.96
39,1,5,91.584,172.83
40,1,1,168.96,122
40,1,5,91.028,173.19
41,1,1,168.96,122
41,1,5,91.028,173.19
42,1,1,170.66,121.09
42,1,5,94.585,172.92
43,1,1,173.52,122.22
43,1,5,98.059,174.57
44,1,1,171.93,121.14
44,1,5,94.568,174.13
45,1,1,171.93,121.14
45,1,5,94.568,174.13
46,1,1,170.94,111.22
46,1,5,87.562,173.53
47,1,1,168.96,68.669
47,1,3,152.02,161.59
47,1,5,75.511,173.36
47,1,5,172.7,157.14
48,1,1,177.6,37.313
48,1,3,144.64,128.26
48,1,5,71.154,176.59
48,1,5,168.71,141.06
49,1,1,168.51,42.925
49,1,3,143.86,140.69
49,1,5,75.035,184.6
49,1,5,166.48,151.83
50,1,1,169.92,61.823
50,1,3,148.56,159.58
50,1,5,85.97,189.86
50,1,5,166.93,167.78
51,1,1,166.11,76.006
51,1,3,152.59,163.67
51,1,5,78.3,165.07
51,1,5,172.62,160.14
52,1,1,170.76,115.15
52,1,5,91.935,165.33
53,1,1,171.48,122.34
53,1,5,96.904,165.47
54,1,1,171.48,122.34
54,1,5,96.904,165.47
55,1,1,171.48,122.34
55,1,5,96.904,165.47
56,1,1,172.43,120.26
56,1,5,96.679,170.1
57,1,1,172.43,120.26
57,1,5,96.679,170.1
58,1,6,165.28,167.03
59,1,6,168.08,163.83
60,1,6,166.85,161.38
61,1,6,168.71,163.43
62,1,6,167.1,164.13
63,1,3,116.79,178.47
63,1,4,116.79,178.47
63,1,6,168,155.85
64,1,3,115.57,184.8
64,1,4,115.57,184.8
64,1,6,166.39,156.88
